id,parent_id,area_name,latitude,longitude
1,0,Aceh,4.57369,96.8358
2,0,Sumatera Utara,2.34767,99.2418
3,0,Sumatera Barat,-0.560294,100.475
4,0,Riau,0.653672,101.738
5,0,Jambi,-1.58183,102.731
6,0,Sumatera Selatan,-3.22827,104.089
7,0,Bengkulu,-3.51342,102.384
8,0,Lampung,-4.85563,104.957
9,0,Kepulauan Bangka Belitung,-2.70163,106.467
10,0,Kepulauan Riau,1.6587,106.093
11,0,Daerah Khusus Ibukota Jakarta,-6.21155,106.845
12,0,Jawa Barat,-6.9237,107.597
13,0,Jawa Tengah,-7.20445,110.022
14,0,Daerah Istimewa Yogyakarta,-7.84706,110.426
15,0,Jawa Timur,-7.66608,112.362
16,0,Banten,-6.40589,106.064
17,0,Bali,-8.40955,115.189
19,0,Nusa Tenggara Timur,-8.66928,121.235
20,0,Kalimantan Barat,-0.175781,110.95
21,0,Kalimantan Tengah,-0.818454,113.041
22,0,Kalimantan Selatan,-2.91013,115.578
23,0,Kalimantan Timur,1.64017,116.421
24,0,Sulawesi Utara,0.624148,123.976
25,0,Sulawesi Tengah,-1.43013,121.446
26,0,Sulawesi Selatan,-3.66898,119.975
27,0,Sulawesi Tenggara,-4.14509,122.175
28,0,Gorontalo,0.699674,122.447
29,0,Sulawesi Barat,-2.84292,119.232
30,0,Maluku,-3.2389,130.146
31,0,Maluku Utara,1.57111,127.809
32,0,Papua Barat,-4.35463,139.366
33,0,Papua,-1.33626,133.175
34,0,Nasional,,
35,0,Nusa Tenggara Barat,-8.65434,117.363
111,11,Jakarta Pusat,-6.17128,106.844
112,11,Jakarta Barat,-6.15899,106.748
113,11,Jakarta Selatan,-6.26855,106.807
114,11,Jakarta Timur,-6.24909,106.901
115,11,Jakarta Utara,-6.131,106.863
116,111,Gambir,-6.16786,106.834
117,111,Tanah Abang,-6.20114,106.817
118,111,Menteng,-6.19005,106.843
119,111,Senen,-6.18169,106.855
120,111,Cempaka Putih,-6.18083,106.875
121,111,Johar Baru,-6.17998,106.863
122,111,Kemayoran,-6.16095,106.866
123,111,Sawah Besar,-6.15259,106.843
124,112,Tamansari,-6.14593,106.825
125,112,Tambora,-6.14781,106.806
126,112,Palmerah,-6.18851,106.803
127,112,Grogol Petamburan,-6.1618,106.792
128,112,Kebon Jeruk,-6.18681,106.776
129,112,Kembangan,-6.19039,106.746
130,112,Cengkareng,-6.15063,106.744
131,112,Kalideres,-6.1467,106.711
132,113,Kebayoran Baru,-6.24235,106.807
133,113,Kebayoran Lama,-6.24295,106.786
134,113,Pesanggrahan,-6.2549,106.765
135,113,Cilandak,-6.29517,106.801
136,113,Pasar Minggu,-6.28834,106.836
137,113,Jagakarsa,-6.33628,106.831
138,113,Mampang Prapatan,-6.25404,106.827
139,113,Pancoran,-6.26138,106.849
140,113,Tebet,-6.22589,106.857
141,113,Setiabudi,-6.21804,106.838
142,114,Matraman,-6.20438,106.87
143,114,Pulo Gadung,-6.19159,106.897
144,114,Jatinegara,-6.2316,106.885
145,114,Duren Sawit,-6.23322,106.931
146,114,Kramatjati,-6.27452,106.872
147,114,Makasar,-6.27401,106.901
148,114,Ciracas,-6.32895,106.889
149,114,Pasar Rebo,-6.32758,106.866
150,114,Cipayung,-6.33048,106.911
151,114,Cakung,-6.1909,106.95
152,115,Cilincing,-6.12707,106.951
153,115,Koja,-6.12033,106.912
154,115,Kelapa Gading,-6.15796,106.918
155,115,Tanjung Priok,-6.13236,106.88
156,115,Pademangan,-6.12741,106.839
157,115,Penjaringan,-6.117,106.768
158,11,Kepulauan Seribu,-5.59822,106.552
159,116,Gambir,-6.17354,106.838
160,116,Kebon Kelapa,-6.17354,106.838
161,116,Petojo Utara,-6.163,106.824
162,116,Duri Pulo,-6.16232,106.813
163,116,Cideng,-6.17285,106.816
164,116,Petojo Selatan,-6.17117,106.825
165,117,Bendungan Hilir,-6.20596,106.819
166,117,Karet Tengsin,-6.20605,106.825
167,117,Kebon Melati,-6.19402,106.826
168,117,Kebon Kacang,-6.18727,106.826
169,117,Kampung Bali,-6.18013,106.824
170,117,Petamburan,-6.19265,106.814
171,117,Gelora,-6.21112,106.812
172,118,Menteng,-6.19986,106.844
173,118,Pegangsaan,-6.19956,106.855
174,118,Cikini,-6.19075,106.847
175,118,Kebon Sirih,-6.18002,106.842
176,118,Gondangdia,-6.19212,106.836
177,119,Senen,-6.17204,106.849
178,119,Kwitang,-6.18184,106.852
179,119,Kenari,-6.19205,106.858
180,119,Paseban,-6.19005,106.863
181,119,Kramat,-6.1809,106.857
182,119,Bungur,-6.16831,106.856
183,120,Cempaka Putih Timur,-6.17751,106.879
184,120,Cempaka Putih Barat,-6.17823,106.871
185,120,Rawasari,-6.18885,106.874
186,121,Galur,-6.17328,106.864
187,121,Tanah Tinggi,-6.17469,106.858
188,121,Kampung Rawa,-6.17663,106.864
189,121,Johar Baru,-6.17584,106.862
190,122,Gunung Sahari Selatan,-6.15796,106.853
191,122,Kemayoran,-6.16355,106.854
192,122,Kebon Kosong,-6.15796,106.862
193,122,Cempaka Baru,-6.16624,106.872
194,122,Harapan Mulya,-6.1672,106.863
195,122,Sumur Batu,-6.16261,106.877
196,122,Serdang,-6.15709,106.868
197,122,Utan Panjang,-6.16317,106.862
198,123,Pasar Baru,-6.16142,106.841
199,123,Gunung Sahari Utara,-6.14849,106.849
200,123,Mangga Dua Selatan,-6.14077,106.835
201,123,Karang Anyar,-6.15167,106.837
202,123,Kartini,-6.15159,106.843
203,124,Pinangsia,-6.13733,106.822
204,124,Glodok,-6.14512,106.817
205,124,Keagungan,-6.15223,106.819
206,124,Krukut,-6.15628,106.819
207,124,Tamansari,-6.15702,106.833
208,124,Maphar,-6.15402,106.824
209,124,Tangki,-6.14469,106.831
210,124,Mangga Besar,-6.14538,106.822
211,125,Tanah Sareal,-6.15397,106.813
212,125,Tambora,-6.14696,106.813
213,125,Roa Malaka,-6.13827,106.813
214,125,Pekojan,-6.13887,106.808
215,125,Jembatan Lima,-6.14544,106.808
216,125,Krendang,-6.15186,106.808
217,125,Duri Selatan,-6.15948,106.808
218,125,Duri Utara,-6.15515,106.808
219,125,Kalianyar,-6.15982,106.804
220,125,Jembatan Besi,-6.1528,106.802
221,125,Angke,-6.14521,106.799
222,126,Slipi,-6.19508,106.803
223,126,Kota Bambu Selatan,-6.18504,106.802
224,126,Kota Bambu Utara,-6.18845,106.807
225,126,Jati Pulo,-6.17691,106.808
226,126,Kemanggisan,-6.19163,106.794
227,126,Palmerah,-6.20037,106.791
228,127,Tomang,-6.17213,106.803
229,127,Grogol,-6.16215,106.801
230,127,Jelambar,-6.15835,106.793
231,127,Jelambar Baru,-6.14721,106.793
232,127,Wijaya Kusuma,-6.15199,106.781
233,127,Tanjung Duren,-6.17012,106.789
234,127,Tanjung Duren Utara,-6.17699,106.793
235,128,Duri Kepa,-6.17392,106.776
236,128,Kedoya Selatan,-6.18553,106.764
237,128,Kedoya Utara,-6.16773,106.764
238,128,Kebon Jeruk,-6.1909,106.781
239,128,Sukabumi Utara,-6.20221,106.781
