Tahun;pemegang_kaartu;Jumlah
2010;Pegawai Negeri  Gol I;1421
2010;Pegawai Negeri Gol II;4369
2010;Pegawai Negeri Gol III;5965
2010;Pegawai Negeri Go lV;4454
2010;Penerima Pensiun Sipil;8029
2010;Penerima Pensiun ABRI;1653
2010;Veteran;740
2010;Perintis Kemerdekaan;10
2010;Istri/Suami ;15868
2010;Anak;15620
2011;Pegawai Negeri  Gol I;542
2011;Pegawai Negeri Gol II;3795
2011;Pegawai Negeri Gol III;5803
2011;Pegawai Negeri Go lV;4948
2011;Penerima Pensiun Sipil;7730
2011;Penerima Pensiun ABRI;1607
2011;Veteran;731
2011;Perintis Kemerdekaan;10
2011;Istri/Suami ;15350
2011;Anak;15235
2012;Pegawai Negeri  Gol I;593
2012;Pegawai Negeri Gol II;2732
2012;Pegawai Negeri Gol III;35684
2012;Pegawai Negeri Go lV;44859
2012;Penerima Pensiun Sipil;7313
2012;Penerima Pensiun ABRI;1606
2012;Veteran;873
2012;Perintis Kemerdekaan;4
2012;Istri/Suami ;15139
2012;Anak;14832
2013;Pegawai Negeri  Gol I;414
2013;Pegawai Negeri Gol II;3285
2013;Pegawai Negeri Gol III;5062
2013;Pegawai Negeri Go lV;5396
2013;Penerima Pensiun Sipil;7873
2013;Penerima Pensiun ABRI;1653
2013;Veteran;869
2013;Perintis Kemerdekaan;6
2013;Istri/Suami ;15176
2013;Anak;14353
