Propinsi,Laki-Laki,Perempuan,Jumlah
Aceh,"75,060","92,013","167,073"
Sumatera Utara,"106,401","141,545","247,946"
Sumatera Barat,"54,767","84,253","139,020"
Riau,"48,371","55,455","103,826"
Jambi,"41,366","40,436","81,802"
Sumatera Selatan,"64,954","77,984","142,938"
Bengkulu,"31,718","30,980","62,698"
Lampung,"63,848","64,276","128,124"
Kepulauan Bangka Belitung,"15,718","16,691","32,409"
Kepulauan Riau,"19,527","16,556","36,083"
DKI Jakarta,"158,944","116,819","275,763"
Jawa Barat,"240,386","205,103","445,489"
Jawa Tengah,"239,437","211,873","451,310"
DI Yogyakarta,"44,314","38,997","83,311"
Jawa Timur,"266,584","226,731","493,315"
Banten,"52,757","46,564","99,321"
Bali,"53,859","40,525","94,384"
Nusa Tenggara Barat,"55,702","36,435","92,137"
Nusa Tenggara Timur,"69,075","56,046","125,121"
Kalimantan Barat,"51,618","42,814","94,432"
Kalimantan Tengah,"40,315","38,271","78,586"
Kalimantan Selatan,"48,442","47,660","96,102"
Kalimantan Timur,"49,333","40,412","89,745"
Kalimantan Utara (1),"7,630","6,417","14,047"
Sulawesi Utara,"33,268","46,393","79,661"
Sulawesi Tengah,"44,501","45,029","89,530"
Sulawesi Selatan,"94,550","109,730","204,280"
Sulawesi Tenggara,"45,351","39,388","84,739"
Gorontalo,"14,588","20,991","35,579"
Sulawesi Barat,"17,959","16,610","34,569"
Maluku,"32,121","37,466","69,587"
Maluku Utara,"22,870","22,618","45,488"
Papua Barat,"23,366","16,676","40,042"
Papua,"59,931","36,915","96,846"
